Date,Close_Splits,Volume_Splits,Open_Splits,High_Splits,Low_Splits,Open_NoSplits,High_NoSplits,Low_NoSplits,Close_NoSplits,Volume_NoSplits,Daily_Return,Price_Range,Price_Change,Profit,pred_constant,error,squared_error,pred_linear,error_linear,squared_error_linear,Prev_Close
2020-02-27, $273.52,80151380, $281.1, $286, $272.96,67.9845784168311,69.16965138753342,66.01590018074076,66.15133666992188,320605600,-6.5368360563547885,3.1537512067926627,-1.833241746909224,False,26.17548033563116,39.97585633429071,1598.0690896598508,67.35337894565949,-1.202042275737611,1.4449056326604548,66.11265563964844
2020-02-26, $292.65,49678430, $286.53, $297.88, $286.5,69.29784412586203,72.0428654399997,69.29058886204834,70.7779769897461,198054800,1.586374980412586,2.7522765779513634,1.4801328638840658,True,26.17548033563116,44.60249665411493,1989.3827077803335,68.22099286212384,2.5569841276222576,6.538167828912157,66.15133666992188
2020-02-25, $288.08,57668360, $300.95, $302.53, $286.13,72.78534740458967,73.16747023858986,69.20109972929876,69.6727066040039,230673600,-3.3872446471837514,3.966370509291096,-3.112640800585765,False,26.17548033563116,43.49722626837274,1892.0086930420157,72.10983335967654,-2.4371267556726366,5.939586823215431,70.7779769897461
2020-02-24, $298.18,55548830, $297.26, $304.18, $289.23,71.8929330165793,73.56654484289926,69.950861613102,72.11543273925781,222195200,-4.75002650223324,3.615683229797256,0.2224997226785063,True,26.17548033563116,45.93995240362665,2110.479226847482,71.14226898883456,0.9731637504232538,0.947047685137853,69.6727066040039
2020-02-21, $313.05,32426420, $318.62, $320.45, $310.5,77.05887881173565,77.5014720805536,75.09504186089677,75.71176147460938,129554000,-2.263501405473589,2.4064302196568264,-1.347117337126278,False,26.17548033563116,49.53628113897821,2453.8431490798885,75.35759666882284,0.35416480578653875,0.12543270965781672,72.11543273925781
2020-02-20, $320.3,25141490, $322.63, $324.65, $318.21,78.0287063254119,78.51724467318775,76.95971731481961,77.4651870727539,100566000,-1.025913163214709,1.5575273583681335,-0.5635192526579971,False,26.17548033563116,51.28970673712274,2630.634017180054,77.24816705990493,0.21702001284897676,0.04709768597697004,75.71176147460938
2020-02-19, $323.62,23495990, $320, $324.57, $320,77.39264718918032,78.49791270322793,77.39264718918032,78.26815032958984,93984000,1.4482444766340308,1.105265514047602,0.8755031404095206,True,26.17548033563116,52.09266999395868,2713.646267099483,77.44877104525212,0.8193792843377281,0.6713824116018074,77.4651870727539
2020-02-18, $319,38190550, $315.36, $319.75, $314.61,76.27047270748963,77.33220694132359,76.08908363725979,77.15081787109375,152531200,-1.8310202075075943,1.2431233040638006,0.8803451636041189,True,26.17548033563116,50.975337535462586,2598.4850368543407,77.00027331707375,0.15054455402000144,0.022663662745081133,78.26815032958984
2020-02-14, $324.95,20028450, $324.74, $325.98, $322.85,78.53901899642953,78.83892050632156,78.08192253766144,78.58981323242188,80113600,0.0246543511434049,0.7569979686601158,0.0507942359923418,True,26.17548033563116,52.41433289679071,2747.2622930155967,78.08416823680355,0.5056449956183258,0.25567686159385666,77.15081787109375
2020-02-13, $324.87,23686890, $324.19, $326.22, $323.35,78.4059846442796,78.89694380995043,78.20282989097468,78.57044219970703,94747600,-0.7121405673793046,0.694113918975745,0.1644575554274325,True,26.17548033563116,52.39496186407587,2745.2320287379644,78.5017566435034,0.06868555620363281,0.004717705631002402,78.58981323242188
2020-02-12, $327.2,28432570, $321.47, $327.22, $321.47,77.7481726332658,79.13882181030785,77.7481726332658,79.13398742675781,113730400,2.3747770105666977,1.3906491770420502,1.3858147934920169,True,26.17548033563116,52.95850709112665,2804.6034733209117,78.06717214713204,1.0668152796257715,1.138094840843013,78.57044219970703
2020-02-11, $319.61,23580780, $323.6, $323.9, $318.71,78.26331921379253,78.33587187126635,77.08065923180118,77.29832458496094,94323200,-0.6033173477503428,1.2552126394651708,-0.9649946288315904,False,26.17548033563116,51.12284424932977,2613.5452041412304,78.59961003758016,-1.3012854526192257,1.693343829198423,79.13398742675781
